created_at,text
Sat Aug 15 00:52:19 +0000 2020,@realDonaldTrump @NatlParkService There’s no need for that. Donald Trump just needs to go back to Moscow after he’s defeated this November. Biden/Harris will MAGA💙🇺🇸 https://t.co/XecSjJxdDG
Sat Aug 15 00:52:19 +0000 2020,@mowoodier You're not a little black kid and I'm not Joe Biden. 😐 https://t.co/kZU530UjRc
Sat Aug 15 00:52:18 +0000 2020,"@GOkaruno @PressSec @realDonaldTrump Ohhhh, so the plan ONLY helps Trump voters' real estate value?

So if you are a Biden supporter or a black person (cuz we all know you ain't black if you don't support Biden) who lives in the suburbs, then your property value will still go down?

Interesting............."
Sat Aug 15 00:52:17 +0000 2020,"@Styx666Official @KamalaHarris No, she’s with Biden!"
Sat Aug 15 00:52:17 +0000 2020,"@CapehartJ At this point, Trump is no longer campaigning. He has too much catching up to Biden. Instead, he has decided to commit fraud."
Sat Aug 15 00:52:16 +0000 2020,"Top Wall Street analysts say these are the 7 cannabis stocks to bet on now that will benefit investors if Biden defeats Trump in November

https://t.co/brv1H1cGyx

#cannabis"
Sat Aug 15 00:52:16 +0000 2020,@KarenMMiddleton Biden chose his VP running mate based on colour.  That's racism.  He also chose for gender.  That's sexism.  Leak nailed his hypocrisy.  How about yours?
Sat Aug 15 00:52:15 +0000 2020,This is tricky business for me. I know Harris quite well and litigated against her &amp; her office many times. Serious work ahead to get substantive reform from a Biden/Harris admin. But first things first. Is this helpful now? https://t.co/REswv07Goi
Sat Aug 15 00:52:15 +0000 2020,@MichaelOwerri @Anthonylipsey @KamalaHarris I don't know how the word Biden got in there.
Sat Aug 15 00:52:15 +0000 2020,"@realDonaldTrump @FoxNews I CANNOT WAIT TO VOTE FOR BIDEN!!! 
#TRUMPFORPRISON2020"
Sat Aug 15 00:52:14 +0000 2020,@SpeakUpNoworNev @gaiasjourney @BeWiseFriends @CruzRc88 @maryellen622 @katibug817 @rjor1121 @Arc02Noahs @RusPugs @Earth_Visitor01 @DoingJack @JamiJm @ConfedofLunches @steelerschic_85 @equality0114 @lmakowski3 @LeonaLioness6 @ReportsDaNews @jacketrose86 @HammertimeAgain @lizlibra1009 @MDomino07 @LindasTweeties @BusyBrain_Very @KellieADennis74 @AnnastasiaM67 @bttrfly_girl @fake_biden @Leahla0429 @mamar9635 @Petz1977 @LeePappas4 @Just_ReneaR @captmattj @GrandpaSnarky @AnnieBoHank @FelissaDeYork @zombiesands @Dawn_HPK @IAmDawnM @lt4agreements @FayKozlowski @kimbfalcone11 @SAndrewsw @LindaRo63084748 @NotHoodlum @SuzeQKnits @vicky_dollysmom @MuseyNews @cuttinghossfan Wow. Thanks Mary.  I feel honored.
Sat Aug 15 00:52:14 +0000 2020,"@godlessgremlin Honestly, if my name was Joe and Biden didn't exist, I would wear the shit outta that"
Sat Aug 15 00:52:13 +0000 2020,How Big a Role Will Kamala Harris Get to Play? https://t.co/tN7H3nebo2
Sat Aug 15 00:52:13 +0000 2020,I hope the fact that Trump is trying to manipulate the vote to make it close enough to steal encourages some progressive non-voters to vote for Biden. We really don’t want an election close enough to steal.
Sat Aug 15 00:52:12 +0000 2020,"@MrStache9 Trudeau, our Joe Biden. Dazed and confused"
Sat Aug 15 00:52:12 +0000 2020,What a great thread discussing not just Epic v Apple but Biden v Trump. Please read https://t.co/OlFZKsiszm
Sat Aug 15 00:52:11 +0000 2020,"Biden and the FBI cospirace.
Guilty Democrats. https://t.co/jz25E1rTv9"
Sat Aug 15 00:52:11 +0000 2020,"@DonaldJTrumpJr @realDonaldTrump @jaredkushner Republicans for Joe Biden
@RepsForBiden"
Sat Aug 15 00:52:11 +0000 2020,@MailorTrout @JasonOverstreet @hmcghee @ewarren Go make some phone calls for Biden! https://t.co/B5hvPKNQb1
Sat Aug 15 00:52:10 +0000 2020,"@burnerrich @benshapiro @cjane87 Yep, just want to be sure we aren’t suggesting Biden would do a better job simply because he’s suggesting something similar to what Trump is already doing"
Sat Aug 15 00:52:10 +0000 2020,@thereidout @POTUS     I can hardly wait for Jan when the indictment start coming out.  Believe even Barr’s fake news won’t be sufficient to stop Biden as people see corruption in frump.
Sat Aug 15 00:52:10 +0000 2020,@ProudSocialist @JoeBiden If Biden doesn’t support a wealth tax on these despicables let’s go to the streets. Enough of us he will listen.  Trump would send In the troops and tear gas
Sat Aug 15 00:52:10 +0000 2020,"@Fox13Politics @FOX13News @JoeBiden don't believe your lying eyes, folks. believe craig that biden has not completely lost his marbles"
Sat Aug 15 00:52:09 +0000 2020,@guypbenson @benshapiro Well Chris I hope you fact check Biden and Harris since no one can question them. Give it15 minutes on your Sunday shows.
Sat Aug 15 00:52:09 +0000 2020,"@bricklaying69 @jeffgiesea @Cernovich @JoeBiden Biden is done, too many show-stoppers he was involved in"
Sat Aug 15 00:52:08 +0000 2020,@pnkust @RealMattCouch And the postal union has endorsed Biden?
Sat Aug 15 00:52:07 +0000 2020,@zestySauce2 And said Biden will fix it. LMMFAO!
Sat Aug 15 00:52:06 +0000 2020,"@walterolson @gtconway3d @Yale Is this what Biden meant by ""unifying the country""?"
Sat Aug 15 00:52:06 +0000 2020,@fras99 It’s more important that Trump not win re-election than Biden wins the election. Vote Biden
